1,2,2,Press 1 or press 2 to BEGIN,You are about to take part in a quiz that will determine which NBA team you should support If you wish to quit the game at any point press [3].
39,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS ORLANDO MAGIC,
40,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS WASHINGTON WIZARDS,
41,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS SACRAMENTO KINGS,
42,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS CHARLOTTE HORNETS,
43,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS LOS ANGELES CLIPPERS,
44,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS BROOKLYN NETS,
45,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS MIAMI HEAT,
46,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS DALLAS MAVERICKS
47,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS DETROIT PISTONS,
48,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS INDIANA PACERS,
49,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS PORTLAND TRAIL BLAZERS,
50,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS BOSTON CELTICS,
51,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS HOUSTON ROCKETS,
52,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS UTAH JAZZ,
53,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS MILWAUKEE BUCKS,
54,11,16,Press 1 for BLUE or press 2 for PURPLE,Blue or purple?
55,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS PHILADELPHIA 76ERS,
56,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS DENVER NUGGETS
57,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS SAN ANTONIO SPURS
58,1,1,PRESS 1 OR PRESS 2 TO START AGAIN, OUR TEAM IS TORONTO RAPTORS
59,1,1,PRESS 1 OR PRESS 2 TO START AGAIN,YOUR TEAM IS OKLAHOMA THUNDER
